,0,1
0,460,1
1,601,1
2,888,1
3,996,1
4,607,1
5,461,1
6,444,1
7,373,1
8,873,1
9,89,1
10,706,1
11,232,1
12,234,1
13,654,1
14,181,1
15,54,1
16,943,1
17,288,1
18,768,1
19,94,1
20,598,1
21,25,1
22,635,1
23,685,1
24,120,1
25,481,1
26,10,1
27,181,1
28,95,1
29,226,1
30,342,1
31,40,1
32,18,1
33,824,1
34,351,1
35,633,1
36,940,1
37,347,1
38,95,1
39,103,1
40,651,1
41,584,1
42,405,1
43,406,1
44,522,1
45,316,1
46,485,1
47,896,1
48,521,1
49,958,1
50,583,1
51,232,1
52,270,1
53,1008,0
54,238,1
55,1006,0
56,858,1
57,860,1
58,850,1
59,1024,0
60,615,1
61,662,1
62,931,1
63,655,1
64,676,1
65,671,1
66,84,1
67,919,1
68,37,1
69,235,1
70,585,1
71,646,1
72,149,1
73,404,1
74,243,1
75,731,1
76,375,1
77,358,1
78,311,1
79,238,1
80,831,1
81,581,1
82,845,1
83,355,1
84,398,1
85,456,1
86,310,1
87,113,1
88,666,1
89,108,1
90,702,1
91,590,1
92,946,1
93,807,1
94,362,1
95,292,1
96,850,1
97,743,1
98,823,1
99,635,1
100,627,1
101,275,1
102,77,1
103,261,1
104,532,1
105,534,1
106,602,1
107,645,1
108,549,1
109,736,1
110,558,1
111,964,1
112,225,1
113,598,1
114,599,1
115,849,1
116,919,1
117,940,1
118,781,1
119,185,1
120,659,1
121,591,1
122,568,1
123,615,1
124,436,1
125,123,1
126,264,1
127,941,1
128,239,1
129,552,1
130,754,1
131,442,1
132,678,1
133,237,1
134,879,1
135,593,1
136,245,1
137,734,1
138,718,1
139,94,1
140,959,1
141,231,1
142,425,1
143,48,1
144,142,1
145,724,1
146,653,1
147,846,1
148,890,1
149,122,1
150,895,1
151,56,1
152,160,1
153,178,1
154,262,1
155,166,1
156,187,1
157,367,1
158,746,1
159,311,1
160,1021,0
161,372,1
162,65,1
163,741,1
164,642,1
165,130,1
166,170,1
167,25,1
168,690,1
169,459,1
170,7,1
171,441,1
172,52,1
173,56,1
174,828,1
175,180,1
176,332,1
177,891,1
178,133,1
179,755,1
180,383,1
181,275,1
182,446,1
183,753,1
184,705,1
185,490,1
186,350,1
187,223,1
188,969,1
189,116,1
190,320,1
191,582,1
192,249,1
193,429,1
194,877,1
195,810,1
196,668,1
197,870,1
198,156,1
199,640,1
200,972,1
201,45,1
202,176,1
203,212,1
204,233,1
205,435,1
206,112,1
207,172,1
208,560,1
209,124,1
210,618,1
211,16,1
212,576,1
213,328,1
214,699,1
215,829,1
216,209,1
217,766,1
218,832,1
219,677,1
220,299,1
221,618,1
222,704,1
223,547,1
224,146,1
225,72,1
226,469,1
227,858,1
228,957,1
229,298,1
230,458,1
231,496,1
232,18,1
233,43,1
234,168,1
235,118,1
236,703,1
237,180,1
238,772,1
239,479,1
240,592,1
241,390,1
242,650,1
243,164,1
244,911,1
245,424,1
246,836,1
247,91,1
248,698,1
249,633,1
250,215,1
251,205,1
252,217,1
253,399,1
254,992,1
255,611,1
256,189,1
257,521,1
258,831,1
259,491,1
260,200,1
261,316,1
262,1009,0
263,1015,0
264,20,1
265,748,1
266,129,1
267,690,1
268,130,1
269,824,1
270,533,1
271,898,1
272,319,1
273,848,1
274,15,1
275,369,1
276,820,1
277,955,1
278,711,1
279,192,1
280,109,1
281,634,1
282,609,1
283,602,1
284,414,1
285,864,1
286,581,1
287,119,1
288,72,1
289,244,1
290,333,1
291,547,1
